,Unnamed: 0,날짜,종가,대비,거래량,기관 매수,기관 매도,기관 순매수,외국인 매수,외국인 매도,외국인 순매수,개인 순매수,개인 매수,개인 매도,개인매수비율(%),개인매수비율증가(%p),개인매도비율(%),개인매도비율증가(%p),개인 순매수비율,기관 순매수비율,외국인 순매수비율
0,0,2020-11-11,87000.0,500.0,2638617,967653,808978,158675,1060492,718705,341787,-500462,610472,1110934,23.13605953421812,,42.10288950613143,,-18.966829971913317,6.0135669557196065,12.953263016193711
1,1,2020-11-10,86500.0,500.0,2849783,741434,1324288,-582854,1532873,635836,897037,-314183,575476,889659,20.19367790459835,-2.942381629619767,31.218482249350213,-10.884407256781216,-11.024804344751864,-20.45257481008203,31.477379154833894
2,2,2020-11-09,86000.0,-300.0,2444330,897306,1104587,-207281,692363,473793,218570,-11289,854661,865950,34.965041545126894,14.771363640528538,35.426885895112356,4.2084036457621465,-0.4618443499854766,-8.48007429438742,8.941918644372896
3,3,2020-11-06,86300.0,200.0,2863808,1002988,784804,218184,1022018,356074,665944,-884128,838802,1722930,29.289742887791355,-5.675298657335527,60.16220361141529,24.735317716302923,-30.87246072362393,7.618667173218316,23.253793550405614
4,4,2020-11-05,86100.0,2900.0,4082325,1648680,797836,850844,1720394,825942,894452,-1745296,713251,2458547,17.4716858652851,-11.818057022506261,60.22418597245442,0.061982361039135014,-42.75250010716932,20.84214265155273,21.91035745561659
5,5,2020-11-04,83200.0,1800.0,3782296,1775754,1079128,696626,835365,602790,232575,-929201,1171177,2100378,30.964710324099435,13.493024458814334,55.53182511363468,-4.6923608588197405,-24.567114789535246,18.41807198590486,6.149042803630388
6,6,2020-11-03,81400.0,1800.0,2057723,754274,330793,423481,527335,934520,-407185,-16296,776114,792410,37.71712713518778,6.752416811088345,38.509070462836846,-17.022754650797847,-0.7919433276490567,20.58007807659243,-19.78813474894337
7,7,2020-11-02,79600.0,-300.0,2000394,775729,709152,66577,392042,866336,-474294,407717,832623,424906,41.62295027879508,3.9058231436073,21.241115500246448,-17.267954962590387,20.381834778548626,3.3281943457138943,-23.71002912426252
8,8,2020-10-30,79900.0,-1800.0,2710477,441951,787943,-345992,1026134,1290066,-263932,609924,1242392,632468,45.836655319340466,4.213705040545385,23.334195420215703,2.093079919969252,22.502459899124766,-12.764985646437879,-9.737474252686889
9,9,2020-10-29,81700.0,-1200.0,2637314,564905,1094118,-529213,645393,851689,-206296,735509,1427016,691507,54.108687854385174,8.272032535044715,26.220123959452682,2.885928539236982,27.888563894932496,-20.06636297384384,-7.822200921088653
10,10,2020-10-28,82900.0,300.0,1773556,588973,810988,-222015,616263,471015,145248,76767,568320,491553,32.04409671868269,-22.06459113570249,27.715674046942983,1.4955500874902938,4.328422671739714,-12.518071039200342,8.189648367460627
11,11,2020-10-27,82600.0,-600.0,2265817,537942,1101244,-563302,981536,731928,249608,313694,746339,432645,32.939067894715244,0.8949711760325556,19.094437017640878,-8.621237029302101,13.844630877074362,-24.860877996766728,11.016247119692368
12,12,2020-10-26,83200.0,-700.0,1662847,615584,595041,20543,405744,538490,-132746,112203,641519,529316,38.579556627879775,5.640488733164531,31.83191237678512,12.73747535914424,6.747644251094659,1.235411315653214,-7.983055566747873
13,13,2020-10-23,83900.0,600.0,2609595,970519,691321,279198,855503,835014,20489,-299687,783573,1083260,30.02661332505619,-8.552943302823586,41.510655868056155,9.678743491271039,-11.484042542999967,10.698901553689366,0.7851409893106018
14,14,2020-10-22,83300.0,-500.0,2593975,565375,777731,-212356,908991,1040632,-131641,343997,1119609,775612,43.161904027602425,13.135290702546234,29.900519473009574,-11.610136395046586,13.261384554592855,-8.18650912210025,-5.074875432492603
15,15,2020-10-21,83800.0,-1400.0,4925877,1264016,966516,297500,1408656,2503452,-1094796,797296,2253205,1455909,45.74220996585989,2.58030593825746,29.556340931777225,-0.34417854123234193,16.18586903408266,6.0395336708569864,-22.225402704939647
16,16,2020-10-20,85200.0,-1500.0,6622637,1445052,1545073,-100021,1055246,2213851,-1158605,1258626,4122339,2863713,62.24618682860015,16.50397686274026,43.241279870843,13.684938939065768,19.00490695775716,-1.5102896323624562,-17.494617325394703
17,17,2020-10-19,86700.0,1400.0,3150011,1353805,1126436,227369,1198006,650588,547418,-774787,598200,1372987,18.99040987475917,-43.25577695384098,43.586736681236985,0.34545681039399057,-24.59632680647782,7.218038286215508,17.37828852026231
18,18,2020-10-16,85300.0,-1800.0,2435541,739184,833175,-93991,697975,788359,-90384,184375,998382,814007,40.99220665962922,22.00179678487005,33.42201999473629,-10.164716686500695,7.570186664892933,-3.859142588853975,-3.711044076038958
19,19,2020-10-15,87100.0,600.0,2802900,877296,776051,101245,1295481,1018201,277280,-378525,630123,1008648,22.481108851546608,-18.51109780808261,35.98587177566092,2.563851780924629,-13.50476292411431,3.6121517000249743,9.892611224089336
20,20,2020-10-14,86500.0,-1700.0,3223767,929159,863541,65618,980800,1159949,-179149,113531,1313808,1200277,40.75381378368847,18.272704932141853,37.232126267189905,1.2462544915289868,3.521687516498556,2.035444869309724,-5.55713238580828
21,21,2020-10-13,88200.0,2700.0,6375448,2616518,1005483,1611035,2017161,1418053,599108,-2210143,1741769,3951912,27.31994677079948,-13.433867012888985,61.98642040527975,24.754294138089854,-34.666473634480276,25.269361462912098,9.397112171568178
22,22,2020-10-12,85500.0,2600.0,4464264,1452804,594946,857858,2185110,768795,1416315,-2274173,826350,3100523,18.510330034245285,-8.809616736554194,69.45205301478586,7.465632609506109,-50.941722980540575,19.216112667172013,31.725610313368563
23,23,2020-10-08,82900.0,-500.0,3330824,1223567,1333302,-109735,1277205,1367320,-90115,199850,830052,630202,24.920320016908732,6.409989982663442,18.92030320425216,-50.531749810533704,6.000016812656568,-3.2945301222760492,-2.7054866903805186
24,24,2020-10-07,83400.0,400.0,2254356,987519,629293,358226,816299,1011909,-195610,-162616,450538,613154,19.985219725722114,-4.9351002911866155,27.198632336685073,8.278329132432908,-7.213412610962954,15.890391757113782,-8.67697914615083
25,25,2020-10-06,83000.0,-200.0,2750145,632429,1171729,-539300,1108392,919508,188884,350416,1009324,658908,36.70075577833169,16.715536052609576,23.959027614907576,-3.2396047217774933,12.74172816342411,-19.60987511567572,6.8681469522516085
26,26,2020-10-05,83200.0,-800.0,3396894,789321,1393154,-603833,1487586,1179856,307730,296103,1119987,823884,32.970914017334664,-3.729841760997033,24.254039131041473,0.2950115161338971,8.716874886293184,-17.776033046659684,9.059158160366499
27,27,2020-09-29,84000.0,1500.0,4707898,1688754,1250468,438286,2396006,1336508,1059498,-1497784,623138,2120922,13.236013184652686,-19.734900832681973,45.050296331823674,20.796257200782193,-31.81428314717099,9.309589969876154,22.504693177294836
28,28,2020-09-28,82500.0,-400.0,3154068,943346,1309488,-366142,944780,875223,69557,296585,1265942,969357,40.13680110891712,26.900787924264435,30.73354791336141,-14.316748418462256,9.403253195555708,-11.60856392443029,2.2053107288745837
29,29,2020-09-25,82900.0,-1400.0,3205596,1271142,1144025,127117,605476,731150,-125674,-1443,1328978,1330421,41.45806271283094,1.3212616039138183,41.50307774279728,10.769529829435873,-0.045015029966346355,3.9654716314844416,-3.920456601518095
30,30,2020-09-24,84300.0,700.0,6401560,2892057,1401362,1490695,1966165,1044117,922048,-2412743,1543338,3956081,24.10877973493961,-17.349282977891328,61.79870219134086,20.295624448543574,-37.689922456401256,23.28643330688145,14.403489149519805
