,Unnamed: 0,날짜,종가,대비,거래량,기관 매수,기관 매도,기관 순매수,외국인 매수,외국인 매도,외국인 순매수,개인 순매수,Unnamed: 11,개인 매수,개인 매도,개인매수비율(%),개인매수비율증가(%p),개인매도비율(%),개인매도비율증가(%p),개인 순매수비율,기관 순매수비율,외국인 순매수비율
115,115,2020-05-27,98100.0,300.0,1620664,466025,385662,80363,178016,191330,-13314,-67049,,976623,1043672,60.26067093487607,7.705535643922211,64.39780238223345,12.87149729841834,-4.13713144735738,4.958646579426704,-0.8215151320693247
116,116,2020-05-26,97800.0,1800.0,2006216,593522,376363,217159,183243,245680,-62437,-154722,,1229451,1384173,61.28208527895301,1.0214143440769448,68.99421597674427,4.596413594510807,-7.712130697791265,10.824308050578802,-3.1121773527875365
117,117,2020-05-25,96000.0,1500.0,1185541,319419,367083,-47664,237234,51157,186077,-138413,,628888,767301,53.04649944624438,-8.235585832708638,64.72159123977998,-4.272624736964288,-11.675091793535609,-4.020442987631807,15.695534781167416
118,118,2020-05-22,94500.0,-2700.0,1619476,358081,631174,-273093,123526,158922,-35396,308489,,1137869,829380,70.26155373713472,17.215054290890354,51.212861444072026,-13.508729795707948,19.048692293062693,-16.86304705966621,-2.1856452333964813
119,119,2020-05-21,97200.0,-100.0,1471917,340399,359662,-19263,211152,329537,-118385,137648,,920366,782718,62.52838984806888,-7.733163889065857,53.17677559264551,1.96391414857348,9.35161425542337,-1.308701509663928,-8.042912745759441
120,120,2020-05-20,97300.0,-1800.0,1828158,353400,396201,-42801,91910,461846,-369936,412737,,1382848,970111,75.64160209347331,13.113212245404446,53.06494296444836,-0.111832628197142,22.576659129024954,-2.341209020226917,-20.235450108798037
121,121,2020-05-19,99100.0,7200.0,4564370,1692347,497151,1195196,742595,160824,581771,-1776967,,2129428,3906395,46.653273069448794,-28.988329024024523,85.58453850147994,32.51959553703157,-38.93126543203115,26.185344308195873,12.745921123835272
122,122,2020-05-18,91900.0,-400.0,741214,158858,201606,-42748,69073,161297,-92224,134972,,513283,378311,69.24896183828153,22.595688768832716,51.03937594271021,-34.54516255876973,18.20958589557132,-5.767295275048771,-12.442290620522549
123,123,2020-05-15,92300.0,0.0,822472,238497,214547,23950,148008,232864,-84856,60906,,435967,375061,53.00691087356165,-16.242050964719866,45.60167397795914,-5.437701964751078,7.405236895602525,2.9119532336663134,-10.317190129268837
124,124,2020-05-14,92300.0,-800.0,982612,299263,344369,-45106,108697,251949,-143252,188358,,574652,386294,58.482086520417006,5.475175646855355,39.312973991768885,-6.288699986190253,19.169112528648135,-4.590418191514046,-14.578694337134088
125,125,2020-05-13,93100.0,1200.0,966892,229046,242013,-12967,219409,254285,-34876,47843,,518437,470594,53.618915039115016,-4.8631714813019835,48.670792601448774,9.357818609679887,4.948122437666254,-1.3411011777944175,-3.607021259871837
126,126,2020-05-12,91900.0,-1800.0,1259874,207196,369176,-161980,136146,340326,-204180,366160,,916532,550372,72.74790971160607,19.12899467249106,43.68468592891035,-4.986106672538419,29.06322378269573,-12.856841239679524,-16.206382543016208
127,127,2020-05-11,93700.0,-800.0,1889278,326111,445815,-119704,395657,436536,-40879,160583,,1167510,1006927,61.79662283687208,-10.951286874734011,53.29692083430814,9.612234905397793,8.499702002563943,-6.335965379367145,-2.163736623196798
128,128,2020-05-08,94500.0,1900.0,1749677,521835,270372,251463,300648,199965,100683,-352146,,927194,1279340,52.99229514933327,-8.804327687538796,73.11863846870024,19.821717634392083,-20.126343319366946,14.371966940183817,5.754376379183129
129,129,2020-05-07,92600.0,-600.0,826239,207022,177569,29453,117552,249859,-132307,102854,,501665,398811,60.716693353860094,7.724398204526807,48.26823715656124,-24.850401312138988,12.448456197298844,3.5647070641787666,-16.01316326147761
130,130,2020-05-06,93200.0,1700.0,1039600,296031,239080,56951,139289,207885,-68596,11645,,604280,592635,58.12620238553289,-2.5904909683271877,57.006060023085794,8.73782286652456,1.120142362447095,5.478164678722585,-6.59830704116968
131,131,2020-05-04,91500.0,-2100.0,1264378,312619,382099,-69480,145235,456236,-311001,380481,,806524,426043,63.78820257865922,5.6620001931263255,33.695856777008146,-23.310203246077656,30.09234580165109,-5.495192102361794,-24.597153699289294
132,132,2020-04-29,93600.0,400.0,1193284,277685,200550,77135,290927,296230,-5303,-71832,,624672,696504,52.348979790225975,-11.439222788433256,58.36866998970908,24.67281321270093,-6.019690199483107,6.46409404634605,-0.44440384686294293
133,133,2020-04-28,93200.0,1600.0,1448692,447152,239137,208015,158931,222764,-63833,-144182,,842609,986791,58.16343294502904,5.8144531548030685,68.11599705113302,9.747327061423944,-9.952564106103988,14.358814710097109,-4.4062506039931195
134,134,2020-04-27,91600.0,1500.0,1219677,385444,141882,243562,106216,192846,-86630,-156932,,728017,884949,59.68932758427026,1.5258946392412227,72.55601278043284,4.44001572929983,-12.86668519616259,19.96938533726552,-7.102700141102932
135,135,2020-04-24,90100.0,-2300.0,2135488,266045,534896,-268851,482308,855983,-373675,642526,,1387135,744609,64.95634721431354,5.267019630043293,34.868329861839534,-37.68768291859331,30.088017352474,-12.589675053196272,-17.49834229927773
136,136,2020-04-23,92400.0,-200.0,3196313,492366,552658,-60292,446097,937937,-491840,552132,,2257850,1705718,70.63920210567612,5.682854891362581,53.365174186633155,18.496844324793614,17.27402791904297,-1.886298369402496,-15.387729549640476
137,137,2020-04-22,92600.0,-900.0,3115871,404470,479668,-75198,387808,989946,-602138,677336,,2323593,1646257,74.57282409958563,3.9336219939094974,52.83456856846768,-0.5306056181654668,21.738255531117943,-2.413386176770476,-19.324869354347467
138,138,2020-04-21,93500.0,-4100.0,3634142,362100,720340,-358240,402934,1249985,-847051,1205291,,2869108,1663817,78.94870371053194,4.375879610946328,45.782938586329315,-7.051629982138365,33.16576512420263,-9.857622514475219,-23.308142609727412
139,139,2020-04-20,97600.0,-2900.0,2142176,245801,602444,-356643,106265,720559,-614294,970937,,1790110,819173,83.56502920394962,4.616325493417662,38.240228627339675,-7.542709958989648,45.32480057660995,-16.648632045172757,-28.67616853143719
140,140,2020-04-17,100500.0,1400.0,1487879,245925,213079,32846,109847,431838,-321991,289145,,1132107,842962,76.08864699347194,-7.476382210477696,56.655279091915396,18.415050464575728,19.43336790155651,2.2075719867005312,-21.64093988825704
141,141,2020-04-16,99100.0,-900.0,1341452,256103,225843,30260,300793,558712,-257919,227659,,784556,556897,58.485581295491755,-17.603065697980174,41.51449325059711,-15.14078584131829,16.971088044894636,2.255764649051923,-19.226852693946558
142,142,2020-04-14,100000.0,2200.0,1582587,310345,240506,69839,471981,220386,251595,-321434,,800261,1121695,50.56663551514072,-7.918945780351037,70.87730405974521,29.3628108091481,-20.3106685446045,4.41296434256063,15.897704202043869
143,143,2020-04-13,97800.0,-1900.0,1339638,151241,318166,-166925,361233,197431,163802,3123,,827164,824041,61.745337173176644,11.178701658035926,61.51221449376622,-9.365089565978993,0.23312267941040787,-12.460455735056785,12.227333055646376
144,144,2020-04-10,99700.0,2600.0,2806785,420868,472876,-52008,339129,404017,-64888,116896,,2046788,1929892,72.92286370348994,11.177526530313301,68.7580986787374,7.245884184971188,4.164765024752519,-1.8529385043742217,-2.3118265203782977
145,145,2020-04-09,97100.0,7100.0,3787201,1084414,646510,437904,573300,329913,243387,-681291,,2129487,2810778,56.22851810611585,-16.694345597374102,74.21781943973926,5.459720761001861,-17.989301333623434,11.562734589476502,6.426566744146931
146,146,2020-04-08,90000.0,-400.0,1785939,400345,313823,86522,374454,522043,-147589,61067,,1011140,950073,56.616715352540034,0.3881972464241983,53.19739363998435,-21.020425799754925,3.419321712555692,4.844622352723134,-8.263944065278825
147,147,2020-04-07,90400.0,1600.0,2601711,581114,274164,306950,221411,983470,-762059,455109,,1799186,1344077,69.15395291790671,12.537237565366675,51.66127213975727,-1.5361215002270825,17.492680778149456,11.79800523578522,-29.290686013934675
148,148,2020-04-06,88800.0,2500.0,1688599,485901,154458,331443,228519,166994,61525,-392968,,974179,1367147,57.69155376735389,-11.462399150552821,80.96339036088497,29.3021182211277,-23.271836593531088,19.62828356525143,3.6435530282796567
149,149,2020-04-03,86300.0,-300.0,1170052,224638,269105,-44467,317224,316573,651,43816,,628190,584374,53.68906681070585,-4.002486956648035,49.94427598089658,-31.019114379988395,3.7447908298092734,-3.8004293826257296,0.05563855281645602
150,150,2020-04-02,86600.0,1200.0,1487243,266225,260329,5896,269566,327423,-57857,51961,,951452,899491,63.97421268750298,10.28514587679713,60.480432585663536,10.536156604766957,3.4937801018394437,0.3964382417668128,-3.8902183436062567
151,151,2020-04-01,85400.0,-3300.0,2139848,420097,458181,-38084,167542,578518,-410976,449060,,1552209,1103149,72.53828309300474,8.564070405501752,51.55268037729782,-8.927752208365717,20.98560271570691,-1.7797525805571237,-19.205850135149788
152,152,2020-03-31,88700.0,3300.0,2138183,395502,291500,104002,572009,332587,239422,-343424,,1170672,1514096,54.750786064616534,-17.787497028388195,70.81227378573303,19.259593408435208,-16.06148772111648,4.86403642719075,11.197451293925731
153,153,2020-03-30,85400.0,-1000.0,1743720,333603,258606,74997,239046,459202,-220156,145159,,1171071,1025912,67.15934897804694,12.408562913430394,58.83467529190466,-11.977598493828369,8.32467368614227,4.300977221113482,-12.625650907255752
154,154,2020-03-27,86400.0,1500.0,2513938,415575,296565,119010,298502,544799,-246297,127287,,1799861,1672574,71.59528198388345,4.4359330058365165,66.53203062287136,7.697355330966701,5.063251361012085,4.734006964372232,-9.797258325384318
155,155,2020-03-26,84900.0,400.0,3787074,582197,548166,34031,338511,612873,-274362,240331,,2866366,2626035,75.68814340570054,4.092861421817091,69.34205669073275,2.8100260678613864,6.346086714967809,0.8986093221310173,-7.2446960370988265
156,156,2020-03-25,84500.0,9700.0,4604452,795324,794797,527,527600,615405,-87805,87278,,3281528,3194250,71.2685896171792,-4.419553788521341,69.37307631831105,0.03101962757830279,1.895513298868139,0.01144544453932846,-1.9069587434074673
157,157,2020-03-24,74800.0,5900.0,2856282,749907,435482,314425,264348,967914,-703566,389141,,1842027,1452886,64.49037595027382,-6.778213666905388,50.86633602704495,-18.506740291266105,13.62403992322887,11.008191768179753,-24.63223169140862
158,158,2020-03-23,68900.0,-2200.0,2391540,552689,602345,-49656,216074,847042,-630968,680624,,1622777,942153,67.85489684471095,3.3645208944371348,39.395243232394186,-11.471092794650758,28.45965361231675,-2.0763190245615797,-26.38333458775517
159,159,2020-03-20,71100.0,5200.0,3349914,734388,699870,34518,509329,1325637,-816308,781790,,2106197,1324407,62.87316629620939,-4.98173054850156,39.53555225596836,0.14030902357417574,23.337614040241032,1.0304145121337442,-24.368028552374778
160,160,2020-03-19,65900.0,-7600.0,3138004,764317,700640,63677,450652,1006635,-555983,492306,,1923035,1430729,61.28210798966477,-1.5910583065446249,45.59360026309718,6.058048007128817,15.68850772656759,2.0292198480307864,-17.717727574598374
161,161,2020-03-18,73500.0,-6600.0,2679420,388191,697614,-309423,285713,734096,-448383,757806,,2005516,1247710,74.84888520649992,13.566777216835149,46.56642109113166,0.9728208280344788,28.282464115368253,-11.54813355129095,-16.7343305640773
162,162,2020-03-17,80100.0,-2800.0,2492208,434616,478939,-44323,686872,1063457,-376585,420908,,1370720,949812,55.00022470034603,-19.848660506153887,38.1112651913484,-8.455155899783263,16.888959508997644,-1.7784631138331952,-15.110496395164448
163,163,2020-03-16,82900.0,-4300.0,2674557,300287,394675,-94388,419983,1239020,-819037,913425,,1954287,1040862,73.06955880917849,18.069334108832454,38.91717394693776,0.805908755589364,34.15238486224074,-3.5291078111253564,-30.62327705111538
164,164,2020-03-13,87200.0,-7800.0,4835445,679729,1001701,-321972,1028640,2203912,-1175272,1497244,,3127076,1629832,64.66987009468622,-8.399688714492271,33.705936061727506,-5.211237885210245,30.963934032958704,-6.658580544293234,-24.30535348866547
165,165,2020-03-12,95000.0,-5000.0,2312355,723583,664238,59345,447135,910510,-463375,404030,,1141637,737607,49.37118219304562,-15.298687901640598,31.898519042275076,-1.8074170194524333,17.472663150770536,2.566431192442337,-20.03909434321287
166,166,2020-03-11,100000.0,-2000.0,2005654,566768,523579,43189,660634,978705,-318071,274882,,778252,503370,38.80290418985528,-10.568278003190336,25.097549228331506,-6.800969813943574,13.705354961523772,2.1533624443697668,-15.85871740589354
167,167,2020-03-10,102000.0,-2000.0,2491487,650449,581807,68642,871653,1514417,-642764,574122,,969385,395263,38.90788914411353,0.10498495425824927,15.864541938207983,-9.23300729012352,23.04334720590555,2.7550615355408237,-25.798408741446373
168,168,2020-03-09,104000.0,-6500.0,1658544,666726,692262,-25536,312412,553862,-241450,266986,,679406,412420,40.96400216093153,2.056113016817981,24.86638883261463,9.001846894406649,16.097613328316886,-1.539663705032848,-14.557949623284037
169,169,2020-03-06,110500.0,-3500.0,1746834,505205,541445,-36240,536675,984088,-447413,483653,,704954,221301,40.35609565648482,-0.6079065044466958,12.668690900222918,-12.197697932391716,27.6874047562619,-2.074610409460773,-25.612794346801127
170,170,2020-03-05,114000.0,1000.0,1135241,399499,360493,39006,267807,502253,-234446,195440,,467935,272495,41.21900107554254,0.8629054190577321,24.00327331377214,11.334582413549226,17.21572776177041,3.435922416473683,-20.65165017824409
171,171,2020-03-04,113000.0,500.0,1319901,356321,376701,-20380,386787,653525,-266738,287118,,576793,289675,43.69971687270485,2.4807157971622966,21.946721761707888,-2.0565515520642563,21.75299511099696,-1.5440551980792498,-20.20893991291771
172,172,2020-03-03,112500.0,-1000.0,1414986,534235,619094,-84859,298748,526830,-228082,312941,,582003,269062,41.131361016999456,-2.5683558557053843,19.015170468117702,-2.931551293590178,22.116190548881757,-5.997161809374792,-16.119028739506962
173,173,2020-03-02,113500.0,-1500.0,1183337,425596,545328,-119732,253401,430186,-176785,296517,,504340,207823,42.62014962770538,1.4887886107059174,17.56245262338624,-1.4527178447314668,25.05769700431914,-10.118165831035453,-14.939531173283688
174,174,2020-02-28,115000.0,-6000.0,1777353,884306,712883,171423,400171,717888,-317717,146294,,492876,346582,27.73090095214625,-14.889248675559127,19.49989675658128,1.9374441331950365,8.231004195564978,9.644848265932541,-17.87585246149752
175,175,2020-02-27,121000.0,-1500.0,779402,418285,320235,98050,200454,319941,-119487,21437,,160663,139226,20.613624291443948,-7.117276660702302,17.863182285906372,-1.636714470674903,2.750442005537579,12.580157608012296,-15.330599613549875
176,176,2020-02-26,122500.0,0.0,1001834,520204,291725,228479,276884,555983,-279099,50620,,204746,154126,20.437118324991964,-0.17650596645198746,15.3843850378406,-2.4787972480657725,5.052733287151365,22.8060736609059,-27.858806948057264
177,177,2020-02-25,122500.0,0.0,796176,285732,243460,42272,184201,419512,-235311,193039,,326243,133204,40.97624143405479,20.53912310906282,16.730471654508552,1.3460866166679484,24.24576977954623,5.309378830811278,-29.55514861035751
178,178,2020-02-24,122500.0,-5500.0,911932,373791,306434,67357,239330,328693,-89363,22006,,298811,276805,32.766807174219124,-8.209434259835652,30.35368865222407,13.623216997715518,2.413118521995061,7.386186689358417,-9.799305211353477
179,179,2020-02-21,128000.0,-2000.0,686417,189757,284220,-94463,272479,216044,56435,38028,,224181,186153,32.659593221030356,-0.10721395318876857,27.11952064124286,-3.2341680109812074,5.5400725797875054,-13.76175123867853,8.221678658891024
180,180,2020-02-20,130000.0,-1500.0,711858,251946,307916,-55970,222839,164466,58373,-2403,,237073,239476,33.303411635466624,0.6438184144362609,33.64097895928682,6.5214583180439565,-0.3375673238202001,-7.862523143660674,8.200090467480875
181,181,2020-02-19,131500.0,-1000.0,776121,271079,344893,-73814,287397,236672,50725,23089,,217645,194556,28.042663450673285,-5.260748184793338,25.067740725995048,-8.573238233291773,2.9749227246782395,-9.510630430048924,6.535707705370683
182,182,2020-02-18,132500.0,-3000.0,744150,181337,357959,-176622,262577,217909,44668,131954,,300236,168282,40.346166767452786,12.303503316779508,22.613989115097766,-2.453751610897285,17.732177652355038,-23.73473090102802,6.0025532486729825
183,183,2020-02-17,135500.0,2000.0,555451,175916,136767,39149,209499,225712,-16213,-22936,,170036,192972,30.61224122379832,-9.733925543654474,34.74149834998946,12.127509234891708,-4.129257126191149,7.0481464611639915,-2.918889334972842
184,184,2020-02-14,133500.0,500.0,591584,163148,151162,11986,235260,266576,-31316,19330,,193176,173846,32.65402715421647,2.0417859304181505,29.386528371287927,-5.354969978701536,3.2674987829285445,2.026085898198734,-5.293584681127278
185,185,2020-02-13,133000.0,-3000.0,1035208,282234,514840,-232606,332468,287122,45346,187260,,420506,233246,40.620435699878676,7.966408545662197,22.531317377763692,-6.855210993524239,18.089118322114977,-22.469494053368983,4.380375731254009
186,186,2020-02-12,136000.0,3500.0,1373302,448913,543777,-94864,514313,310474,203839,-108975,,410076,519051,29.860584197794804,-10.759851502083864,37.79583806038293,15.264520682619233,-7.935253862588127,-6.907730419092086,14.842984281680213
187,187,2020-02-11,132500.0,2500.0,949247,465141,309916,155225,80396,194799,-114403,-40822,,403710,444532,42.52949969818182,12.66891550038702,46.829961011201505,9.034122950818585,-4.300461313019688,16.35243514069573,-12.051973827676042
188,188,2020-02-10,130000.0,-1000.0,669628,189649,222811,-33162,219387,210945,8442,24720,,260592,235872,38.91593541488707,-3.6135642832947497,35.22433351054615,-11.60562750065536,3.6916019043409176,-4.952301875070935,1.2606999707300173
189,189,2020-02-07,131000.0,-1000.0,999598,335078,403082,-68004,301662,277865,23797,44207,,362858,318651,36.30039275788867,-2.6155426569983997,31.87791492179856,-3.3464185887475932,4.422477836090108,-6.803134860213806,2.3806570241236975
190,190,2020-02-06,132000.0,8000.0,1659774,625468,523077,102391,400984,354004,46980,-149371,,633322,782693,38.15712259620888,1.8567298383202056,47.1566008384274,15.278685916628842,-8.999478242218519,6.168972402266815,2.8305058399517042
191,191,2020-02-05,124000.0,0.0,1032267,193534,350383,-156849,567329,427188,140141,16708,,271404,254696,26.292034909572806,-11.865087686636064,24.67346142034958,-22.483139418077826,1.618573489223234,-15.194615346610906,13.576041857387672
192,192,2020-02-04,124000.0,500.0,1203992,311203,502867,-191664,567327,423459,143868,47796,,325462,277666,27.03190718875209,0.7398722791792736,23.06211336952405,-1.6113480508255265,3.969793819228035,-15.919042651446189,11.949248832218155
193,193,2020-02-03,123500.0,-1500.0,1270442,470480,458402,12078,403366,418278,-14912,2834,,396596,393762,31.21716693875045,4.185259749998366,30.994094968522766,7.931981598998713,0.22307197022768455,0.950692751026808,-1.1737647212544926
194,194,2020-01-31,125000.0,-2500.0,1035126,403713,511727,-108014,330547,197791,132756,-24742,,300866,325608,29.06564031818349,-2.151526620566962,31.45588073336,0.4617857648372308,-2.39024041517651,-10.434864934317176,12.825105349493684
195,195,2020-01-30,127500.0,-3500.0,1034661,476835,487636,-10801,253947,218168,35779,-24978,,303879,328857,29.369909564582024,0.3042692463985333,31.784033611008827,0.32815287764882584,-2.414124046426801,-1.0439167998020609,3.4580408462288617
196,196,2020-01-29,131000.0,0.0,1318578,415940,561483,-145543,583278,395910,187368,-41825,,319360,361185,24.220030972760053,-5.149878591821974,27.39200866387882,-4.392024947130008,-3.171977691118766,-11.03787565089058,14.209853342009346
197,197,2020-01-28,131000.0,500.0,1841752,606828,584186,22642,693316,632104,61212,-83854,,541608,625462,29.407216606796137,5.187185634036087,33.96016401773963,6.5681553538608135,-4.552947410943493,1.229372901454702,3.323574509488791
198,198,2020-01-23,130500.0,3500.0,2492785,757055,539212,217843,990111,835388,154723,-372566,,745619,1118185,29.911083386653882,0.503866779857745,44.856856888981596,10.896692871241967,-14.945773502327718,8.738940582521156,6.206832919806562
199,199,2020-01-22,127000.0,10000.0,2773421,1017139,757743,259396,847848,600072,247776,-507172,,908434,1415606,32.75499824945437,2.8439148628004913,51.04187211389832,6.185015224916725,-18.286873864443947,9.352925502475102,8.933948361968847
200,200,2020-01-21,117000.0,-1000.0,545156,189418,155537,33881,149926,279743,-129817,95936,,205812,109876,37.75286340056791,4.997865151113537,20.154964817410058,-30.88690729648826,17.59789858315785,6.2149182986154425,-23.81281688177329
201,201,2020-01-20,118000.0,-500.0,445922,166814,183366,-16552,62065,111907,-49842,66394,,217043,150649,48.67286207004813,10.919998669480217,33.78371105260561,13.628746235195552,14.889151017442513,-3.7118599216903405,-11.177291095752173
202,202,2020-01-17,118500.0,0.0,574301,233284,279932,-46648,123358,161432,-38074,84722,,217659,132937,37.89981211942866,-10.773049950619466,23.147617712662875,-10.63609333994274,14.75219440676579,-8.122569871896445,-6.629624534869346
203,203,2020-01-16,118500.0,3500.0,1638719,539889,436627,103262,616305,698762,-82457,-20805,,482525,503330,29.445255714982252,-8.45455640444641,30.714844949012004,7.567227236349133,-1.2695892340297512,6.301385411409766,-5.031796177380015
204,204,2020-01-15,115000.0,-1000.0,564142,241876,175571,66305,147024,318427,-171403,105098,,175242,70144,31.063455654781947,1.6181999397997018,12.43374894973251,-18.281095999279493,18.629706705049436,11.753246523038525,-30.382953228087963
205,205,2020-01-14,116000.0,1000.0,739959,228198,224025,4173,265796,369457,-103661,99488,,245965,146477,33.24035520886968,2.1768995540877287,19.795285955032643,7.361537005300129,13.445069253837037,0.5639501648064285,-14.009019418643465
206,206,2020-01-13,115000.0,1500.0,692917,154366,166452,-12086,310131,356678,-46547,58633,,228420,169787,32.96498714853294,-0.2753680603367385,24.50322332977832,4.707937374745672,8.461763818754628,-1.7442204477592553,-6.717543370995371
207,207,2020-01-10,113500.0,2000.0,896507,208126,243828,-35702,385562,483694,-98132,133834,,302819,168985,33.777650369712674,0.8126632211797329,18.84926721152205,-5.653956118256262,14.928383158190622,-3.9823448115854085,-10.946038346605214
208,208,2020-01-09,111500.0,-500.0,1375510,455592,793703,-338111,515600,442417,73183,264928,,404318,139390,29.394042936801625,-4.3836074329110515,10.133695865533511,-8.715571345988543,19.26034707126811,-24.580773676672653,5.320426605404541
209,209,2020-01-08,112000.0,-3500.0,1044825,332171,517507,-185336,339058,352245,-13187,198523,,373596,175073,35.756801378221226,6.3627584414196106,16.756203191922094,6.622507326388583,19.00059818629914,-17.738472950015552,-1.2621252362835882
210,210,2020-01-07,115500.0,-500.0,674196,217943,316208,-98265,228691,279274,-50583,148848,,227562,78714,33.75309257248634,-2.0037088057348957,11.675239841233113,-5.0809633506889815,22.077852731253227,-14.575138387056583,-7.502714344196643
211,211,2020-01-06,116000.0,0.0,334574,131448,175106,-43658,76751,86656,-9905,53563,,126375,72812,37.771912940037176,4.018820367550845,21.762599604272896,10.087359763039784,16.009313335764286,-13.048832246378977,-2.9604810893853077
212,212,2020-01-03,116000.0,-2000.0,1145187,379575,559345,-179770,199193,438035,-238842,418612,,566419,147807,49.460830414596046,11.688917474558867,12.906800374087375,-8.85579923018552,36.55403004050867,-15.697872923810696,-20.856157116697972
213,213,2020-01-02,118000.0,-2500.0,556532,216336,321975,-105639,45158,162832,-117674,223313,,295038,71725,53.013663185585024,3.552832770988971,12.88784831779664,-0.018952056290736152,40.12581486778838,-18.981657838183608,-21.144157029604767
214,214,2019-12-30,120500.0,0.0,467794,144435,106221,38214,188305,274329,-86024,47810,,135054,87244,28.87040021889977,-24.143262966685253,18.650089569340352,5.762241251543706,10.220310649559421,8.168980363151302,-18.38929101271072
215,215,2019-12-27,120500.0,-2000.0,422565,165762,235206,-69444,70239,112778,-42539,111983,,186564,74581,44.150367399098364,15.279967180198591,17.649592370404555,-1.0004971989357934,26.50077502869381,-16.433921408540698,-10.066853620153113
216,216,2019-12-26,122500.0,500.0,552469,202120,202026,94,36907,216611,-179704,179610,,313442,133832,56.73476701860195,12.584399619503586,24.224345619392214,6.574753248987662,32.51042139920973,0.017014529322007206,-32.52743592853174
217,217,2019-12-24,122000.0,-500.0,600726,364137,166889,197248,85942,330596,-244654,47406,,150647,103241,25.077489570952483,-31.657277447649463,17.186038227078573,-7.038307392313647,7.8914513438739124,32.83493639363037,-40.72638773750429
218,218,2019-12-23,122500.0,-1500.0,1462906,811526,323750,487776,366907,992488,-625581,137805,,284473,146668,19.445747026808284,-5.631742544144199,10.025797966513226,-7.160240260565343,9.419949060295057,33.342948897605176,-42.762897957900236
219,219,2019-12-20,124000.0,500.0,1001899,216206,202787,13419,631720,646594,-14874,1455,,153973,152518,15.368115947815099,-4.077631078993184,15.222891728607376,5.197093762094147,0.14522421920772452,1.339356561888973,-1.4845807810966973
220,220,2019-12-19,123500.0,500.0,905299,238402,311385,-72983,514430,503322,11108,61875,,152467,90592,16.841618073144893,1.4735021253297962,10.006859612128148,-5.2160321164792265,6.834758461016747,-8.061756392087034,1.2269979310702872
221,221,2019-12-18,123000.0,1000.0,1135407,387015,323681,63334,573648,559748,13900,-77234,,174744,251978,15.390428278141673,-1.451189795003225,22.192746741917208,12.18588712978907,-6.802318463775545,5.578087857481942,1.2242306062936021
222,222,2019-12-17,122000.0,3000.0,1904603,615182,369202,245980,1053011,1158190,-105179,-140801,,236410,377211,12.412560517861204,-2.977867760280469,19.805229751292003,-2.387516990625212,-7.392669233430799,12.915027436163863,-5.522358202733063
223,223,2019-12-16,119000.0,-2000.0,1015046,251938,228964,22974,411310,736487,-325177,302203,,351798,49595,34.65833075545345,22.245770237592243,4.885985462727797,-14.919244288564204,29.77234529272565,2.263345700588939,-32.03569099331459
224,224,2019-12-13,121000.0,1000.0,1058172,264822,229697,35125,518063,714253,-196190,161065,,275287,114222,26.015335881123296,-8.642994874330153,10.79427541080278,5.908289948074984,15.221060470320515,3.3194036508242517,-18.540464121144765
225,225,2019-12-12,120000.0,1000.0,5201616,853512,655913,197599,4209145,4464276,-255131,57532,,138959,81427,2.6714582545116747,-23.343877626611622,1.5654173626042367,-9.228858048198543,1.106040891907438,3.7988002190088617,-4.9048411109162995
226,226,2019-12-11,119000.0,-1000.0,1015977,271317,273476,-2159,607234,687691,-80457,82616,,137426,54810,13.526487312212774,10.855029057701099,5.394807165910252,3.829389803306016,8.131680146302525,-0.21250481064039836,-7.919175335662127
227,227,2019-12-10,120000.0,500.0,784383,147619,198174,-50555,533243,536305,-3062,53617,,103521,49904,13.197761807688336,-0.3287255045244404,6.362198058856452,0.9673908929461996,6.835563748831884,-6.44519322830811,-0.39037052052377474
228,228,2019-12-09,119500.0,1000.0,902113,261308,250701,10607,519770,544627,-24857,14250,,121035,106785,13.416833589583565,0.21907178189522905,11.837208864078006,5.475010805221553,1.579624725505563,1.1757950500657899,-2.755419775571353
229,229,2019-12-06,118500.0,500.0,1504634,278507,284615,-6108,1032502,1128011,-95509,101617,,193625,92008,12.868578006345727,-0.548255583237836,6.114975469117407,-5.722233394960598,6.753602537228323,-0.40594589780637685,-6.347656639421946
230,230,2019-12-05,118000.0,-4000.0,1560647,521525,476964,44561,562095,959534,-397439,352878,,477027,124149,30.565976803210464,17.697398796864732,7.954969957972558,1.8399944888551527,22.611006845237906,2.855290145689576,-25.466296990927482
231,231,2019-12-04,122000.0,500.0,1498918,499268,519745,-20477,840914,804342,36572,-16095,,158736,174831,10.590038948094561,-19.97593785511591,11.663813497469508,3.708843539496949,-1.073774549374949,-1.3661187603324532,2.4398933097074025
232,232,2019-12-03,121500.0,0.0,849994,345741,350645,-4904,427711,376235,51476,-46572,,76542,123114,9.005004741209937,-1.5850342068846217,14.4841022407217,2.820288743252192,-5.479097499511761,-0.5769452490252872,6.056042748537049
233,233,2019-12-02,121500.0,500.0,862135,327772,408274,-80502,336223,333064,3159,77343,,198140,120797,22.98247954206708,13.977474800857141,14.011378728389404,-0.4727235123322942,8.971100813677673,-9.33751674621724,0.36641593253956745
234,234,2019-11-29,121000.0,-3000.0,1016506,286561,313094,-26533,398969,620633,-221664,248197,,330976,82779,32.560161966579635,9.577682424512556,8.143483658729018,-5.867895069660388,24.416678307850617,-2.610215778362351,-21.806462529488268
