Date,EngTitle,posneg,neg,pos,neu,compound,vader_pred
2020-10-30 12:11:00,"[fnMarket Watch] Park Neung-hoo ""Reliance on the National Pension Commission despite approval of LG Chem's original draft""",-1,0.129,0.116,0.756,-0.0654,0
2020-10-30 11:47:00,LG Chem battery division passed the shareholders' meeting,0,0.0,0.0,1.0,0.0,0
2020-10-30 10:38:00,"LG Chem's battery business spin-off confirmed with ""80% of shareholders agree""",0,0.0,0.2,0.8,0.3612,1
2020-10-30 10:33:00,"LG Chem confirms battery division, the future share price outlook",0,0.0,0.196,0.804,0.296,1
2020-10-30 10:11:00,LG Chem pushes to spin off batteries...Launched LG Energy Solution in December (Comprehensive),0,0.0,0.286,0.714,0.5267,1
2020-10-30 11:27:00,LG Chem's'Donghak ant' broke through strong opposition and confirmed to spin off...,1,0.174,0.205,0.621,0.128,1
2020-10-30 11:07:00,"LG Chem confirms battery injection, widening decline (general)",0,0.0,0.0,1.0,0.0,0
2020-10-30 10:31:00,Investor sentiment weakened by news of battery injection… LG Chem intraday 4%↓,-1,0.173,0.0,0.827,-0.3182,-1
2020-10-30 11:14:00,"LG Chem, which has relieved the financial burden, is likely to attract large-scale investment",-1,0.153,0.268,0.579,0.296,1
2020-10-30 11:02:00,Vote confrontation successive defeat of the national pension… LG Chem could not even prevent the division,-1,0.311,0.103,0.586,-0.5063,-1
2020-10-30 10:49:00,"[SK Inno Concall] ""We are open to agreement with LG Chem.""",0,0.0,0.242,0.758,0.4939,1
2020-10-30 10:42:00,"LG Chem,'battered' up to 620,000 won during the week after passing battery injection",0,0.0,0.236,0.764,0.5719,1
2020-10-30 10:25:00,[Features] In approval of the shareholders' general'battery injection' LG Chem plunged around 3%,0,0.0,0.205,0.795,0.4767,1
2020-10-30 10:34:00,[Breaking News] LG Chem will eventually pull off the battery business... Approved by the general shareholders,-1,0.0,0.157,0.843,0.4215,1
2020-10-30 10:32:00,[Breaking News] LG Chem's battery business division decided to spin off... 82.3% in favor,-1,0.0,0.172,0.828,0.4019,1
2020-10-30 10:31:00,Investor sentiment weakened by news of battery injection… LG Chem intraday 4%↓,-1,0.173,0.0,0.827,-0.3182,-1
2020-10-30 10:22:00,"[Features] LG Chem,'fall' after passing the battery business material division plan",0,0.0,0.0,1.0,0.0,0
2020-10-30 10:18:00,[Features] LG Chem expands decline after passing material division,0,0.0,0.149,0.851,0.1027,1
2020-10-30 10:30:00,[Breaking News] LG Chem passes physical division with 82.3% approval of attending shareholders,-1,0.0,0.205,0.795,0.4767,1
2020-10-30 10:29:00,"“ITC decision to be postponed twice, LG Chem will faithfully face the lawsuit”-SK E...",0,0.108,0.169,0.723,0.25,1
2020-10-30 10:28:00,"Hak-cheol Shin, Vice Chairman of LG Chem, ""Battery injection to keep the market gap""",0,0.0,0.0,1.0,0.0,0
2020-10-30 09:46:00,Shin Hak-cheol “Leap to the top 5 global LG Chem through battery injection,0,0.0,0.141,0.859,0.2023,1
2020-10-30 10:28:00,"Hak-cheol Shin, Vice Chairman of LG Chem, ""Battery injection to keep the market gap""",0,0.0,0.0,1.0,0.0,0
2020-10-30 10:25:00,LG Chem's battery business material division plan passed as the original plan,0,0.0,0.173,0.827,0.3182,1
2020-10-30 10:15:00,LG Chem's battery business material division plan passed as the original plan,0,0.0,0.173,0.827,0.3182,1
2020-10-30 10:11:00,[Breaking News] LG Chem passes the physical division plan,-1,0.0,0.0,1.0,0.0,0
2020-10-30 10:16:00,LG Chem's'battery injection' main gun... Not even 100 shareholders come,0,0.0,0.0,1.0,0.0,0
2020-10-30 10:11:00,[Breaking News] LG Chem passes the physical division plan,-1,0.0,0.0,1.0,0.0,0
2020-10-30 10:10:00,LG Chem passed the division of the battery business at the shareholders' meeting (1 report),0,0.0,0.0,1.0,0.0,0
2020-10-30 10:09:00,"[Breaking News] LG Chem ""passes the physical division of battery business""… December 1st New corporation ...",-1,0.0,0.0,1.0,0.0,0
2020-10-30 09:50:00,[Features] ‘Battery injection share day’ declined by 1% of LG Chem,0,0.0,0.18,0.82,0.296,1
2020-10-30 08:11:00,LG Chem decides to spin off batteries'Day of Fate'… Will it pass the shareholders' meeting,0,0.0,0.0,1.0,0.0,0
2020-10-30 07:37:00,"""Today's fateful day"" depends on foreigners to spin off LG Chem's battery business",-1,0.0,0.0,1.0,0.0,0
2020-10-30 06:52:00,Will LG Chem's battery business be'material split'?,0,0.0,0.0,1.0,0.0,0
2020-10-30 09:41:00,"KOSPI,'fall' in selling foreigners and institutions… LG Chem ahead of the shareholders' meeting↓",0,0.0,0.0,1.0,0.0,0
2020-10-30 09:41:00,"KOSPI,'fall' in selling foreigners and institutions… LG Chem ahead of the shareholders' meeting↓",0,0.0,0.0,1.0,0.0,0
2020-10-30 09:19:00,[Features] Shareholders' day for battery division...LG Chemicals'weak',-1,0.0,0.0,1.0,0.0,0
2020-10-30 09:29:00,"""I came to the opposite event""... LG Chem's chief executive in tension",-1,0.173,0.0,0.827,-0.3182,-1
2020-10-30 09:15:00,[Breaking News] LG Chem attends 77.5% of stocks with voting rights... General Assembly was established,-1,0.0,0.0,1.0,0.0,0
2020-10-30 08:23:00,Will the US record-breaking growth and domestic stock markets rebound? LG Chem stockholders are also interested,0,0.0,0.275,0.725,0.6486,1
2020-10-30 07:56:00,[News Early Delivery] US GDP rebound in the third quarter… What is the fate of LG Chem's division?,1,0.0,0.0,1.0,0.0,0
2020-10-30 04:35:00,I can't take off the battery... LG Chem's vote today,0,0.0,0.0,1.0,0.0,0
2020-10-29 17:35:00,"LG Chem's battery injection, ‘weight’ to pass despite opposition to the national pension",0,0.0,0.0,1.0,0.0,0
2020-10-29 14:54:00,"Samsung Biologics surges 9% during intraday… 4th place in market cap, beating LG Chem",0,0.188,0.0,0.812,-0.4588,-1
2020-10-29 10:27:00,"""Let's oppose the division of LG Chem by electronic voting"" Comment... Is this possible?",0,0.0,0.0,1.0,0.0,0
2020-10-31 16:16:00,[Infinite Power] What are the remaining tasks for LG Chem?,0,0.0,0.0,1.0,0.0,0
2020-10-31 06:35:00,'Alone net purchase' of ants who opposed LG Chem's battery division,0,0.167,0.0,0.833,-0.25,-1
2020-10-31 04:17:00,LG Chem confirms battery injection after controversy... Share price plunged 6%,0,0.0,0.18,0.82,0.296,1
2020-10-31 10:01:00,[Marketer] LG Chem's physical division approved... National Pension Plan,0,0.0,0.0,1.0,0.0,0
2020-10-30 17:52:00,Let's run out of battery...LG Chemicals stock price drops by 6%,0,0.0,0.0,1.0,0.0,0
2020-10-30 17:39:00,Against the national pension… LG Chem overwhelmingly passed the physical division,0,0.13,0.0,0.87,-0.128,-1
2020-10-30 14:48:00,"Hak-cheol Shin, CEO of LG Chem, ""Variety of financing possible through physical division""",0,0.0,0.0,1.0,0.0,0
2020-10-30 14:34:00,LG Chem “Thanks for the approval of the division…I will try to improve corporate and shareholder value”,0,0.0,0.286,0.714,0.7184,1
2020-10-30 14:28:00,"LG Chem ""Appreciation for approval of division of battery business…I will increase competitiveness""",0,0.0,0.465,0.535,0.8271,1
2020-10-30 17:32:00,"LG Chem's battery business division, shareholders' meeting confirmed",0,0.0,0.0,1.0,0.0,0
2020-10-30 10:21:00,[Breaking News] LG Chem to'confirm' the division of battery business at the shareholders' meeting,-1,0.0,0.0,1.0,0.0,0
2020-10-30 17:27:00,Battlefield is an old word?! LG Chem's spin-off shareholders' meeting,0,0.243,0.0,0.757,-0.4389,-1
2020-10-30 10:09:00,"LG Chem's temporary shareholders' meeting asking for battery division, thanks to electronic voting",0,0.0,0.195,0.805,0.4404,1
2020-10-30 09:45:00,LG Chem's Day of Decision on'Material Split'...,0,0.0,0.0,1.0,0.0,0
2020-10-30 09:37:00,[Breaking News] LG Chem's'battery injection' start A sluggish state president,-1,0.252,0.0,0.748,-0.4019,-1
2020-10-30 09:01:00,"""Even though we voted in advance, so many shareholders..."" LG Chem shareholders' interest ...",0,0.0,0.188,0.812,0.4588,1
2020-10-30 17:39:00,Against the national pension… LG Chem overwhelmingly passed the physical division,0,0.13,0.0,0.87,-0.128,-1
2020-10-30 14:48:00,"Hak-cheol Shin, CEO of LG Chem, ""Variety of financing possible through physical division""",0,0.0,0.0,1.0,0.0,0
2020-10-30 14:34:00,LG Chem “Thanks for the approval of the division…I will try to improve corporate and shareholder value”,0,0.0,0.286,0.714,0.7184,1
2020-10-30 14:28:00,"LG Chem ""Appreciation for approval of division of battery business…I will increase competitiveness""",0,0.0,0.465,0.535,0.8271,1
2020-10-30 17:32:00,"LG Chem's battery business division, shareholders' meeting confirmed",0,0.0,0.0,1.0,0.0,0
2020-10-30 10:21:00,[Breaking News] LG Chem to'confirm' the division of battery business at the shareholders' meeting,-1,0.0,0.0,1.0,0.0,0
2020-10-30 17:27:00,Battlefield is an old word?! LG Chem's spin-off shareholders' meeting,0,0.243,0.0,0.757,-0.4389,-1
2020-10-30 10:09:00,"LG Chem's temporary shareholders' meeting asking for battery division, thanks to electronic voting",0,0.0,0.195,0.805,0.4404,1
2020-10-30 09:45:00,LG Chem's Day of Decision on'Material Split'...,0,0.0,0.0,1.0,0.0,0
2020-10-30 09:37:00,[Breaking News] LG Chem's'battery injection' start A sluggish state president,-1,0.252,0.0,0.748,-0.4019,-1
2020-10-30 09:01:00,"""Even though we voted in advance, so many shareholders..."" LG Chem shareholders' interest ...",0,0.0,0.188,0.812,0.4588,1
2020-10-30 17:21:00,"LG Chem declared'battery super gap'… ""Investing 3 trillion each year, solidifying the unrivaled number 1",-1,0.0,0.321,0.679,0.6369,1
2020-10-30 12:12:00,"""Pe 100x for PET bottle companies?"" Ant to confirm LG Chem battery injection ...",0,0.0,0.0,1.0,0.0,0
2020-10-30 11:39:00,"82% of LG Chem shareholders ""approve of battery division""… Share price is weak in the 4% range",-1,0.144,0.109,0.746,-0.1779,-1
2020-10-30 10:46:00,LG Chem separates battery business... 'Energy Solution' launched in December [General],0,0.0,0.424,0.576,0.5994,1
2020-10-30 17:21:00,"LG Chem declared'battery super gap'… ""Investing 3 trillion each year, solidifying the unrivaled number 1",-1,0.0,0.321,0.679,0.6369,1
2020-10-30 14:55:00,LG Chem's No. 1 battery market share... Double K battery market share↑,0,0.196,0.0,0.804,-0.296,-1
2020-10-30 13:45:00,"LG Chem, Suseong, No. 1 in the global battery market from January to September… The gap with Chinese CATL ...",0,0.109,0.0,0.891,-0.296,-1
2020-10-30 10:05:00,LG Chem widens the gap with Chinese CATL... Global Battery No. 1 ‘Susung’,0,0.167,0.0,0.833,-0.296,-1
2020-10-30 16:17:00,(General) LG Chem plunges due to confirmation of division of battery business...,0,0.0,0.0,1.0,0.0,0
2020-10-30 13:50:00,"LG Chem's battery business division confirmed, widening decline...4% level ↓",0,0.0,0.0,1.0,0.0,0
2020-10-30 11:04:00,"LG Chem's extraordinary shareholders' meeting'There was no change'... ""Battery new corporation IPO schedule ...",0,0.145,0.0,0.855,-0.296,-1
2020-10-30 10:51:00,LG Chem's battery business division confirmed... 12 Established a new corporation,0,0.0,0.0,1.0,0.0,0
2020-10-30 10:40:00,LG Chem's battery independent corporation'LG Energy Solution' launched in December,-1,0.0,0.457,0.543,0.5994,1
2020-10-30 10:18:00,LG Chem's battery business division confirmed... Shareholder approval,0,0.0,0.307,0.693,0.4767,1
2020-10-30 10:13:00,LG Chem spins off the world's No. 1 battery business (complementary),0,0.196,0.0,0.804,-0.296,-1
2020-10-30 16:13:00,"Kospi, 2270 line collapsed due to strong selling of foreigners and institutions... LG Chem plunged 6.14%",1,0.108,0.17,0.722,0.296,1
2020-10-30 15:52:00,"LG Chem ""will become a global top 5 chemical company in 2024""",0,0.0,0.167,0.833,0.2023,1
2020-10-30 14:35:00,"Hak-cheol Shin, Vice Chairman of LG Chem 'Persuasion' at the last minute that was unfortunate [field+]",0,0.167,0.0,0.833,-0.4588,-1
2020-10-30 14:48:00,"Hak-cheol Shin, CEO of LG Chem, ""Variety of financing possible through physical division""",0,0.0,0.0,1.0,0.0,0
2020-10-30 14:34:00,LG Chem “Thanks for the approval of the division…I will try to improve corporate and shareholder value”,0,0.0,0.286,0.714,0.7184,1
2020-10-30 14:28:00,"LG Chem ""Appreciation for approval of division of battery business…I will increase competitiveness""",0,0.0,0.465,0.535,0.8271,1
2020-10-30 14:35:00,"Hak-cheol Shin, Vice Chairman of LG Chem 'Persuasion' at the last minute that was unfortunate [field+]",0,0.167,0.0,0.833,-0.4588,-1
2020-10-30 14:02:00,"National Pension Plan LG Chem Confrontation Defeated.. ""The judgment criteria were different""",-1,0.173,0.0,0.827,-0.3182,-1
2020-10-30 14:01:00,After division of LG Chem's physical properties... Securities companies that are going to go 1 million won vs. expected to collapse ...,-1,0.118,0.218,0.664,0.4019,1
2020-10-30 11:25:00,[Analysis] LG Chem's physical division passed... 'Key' to appease angry individual shareholders,0,0.214,0.136,0.649,-0.296,-1
2020-10-30 09:05:00,LG Chem's fateful day… 1% ahead of'battery injection' weekly results ↓,0,0.0,0.0,1.0,0.0,0
2020-10-30 06:59:00,[Kim Dae-sung's stock analysis] LG Chem's temporary shareholders' meeting D-Day Aftereffects after the shareholders' meeting...,0,0.0,0.0,1.0,0.0,0
2020-10-30 13:50:00,"LG Chem's battery business division confirmed, widening decline...4% level ↓",0,0.0,0.0,1.0,0.0,0
2020-10-30 11:04:00,"LG Chem's extraordinary shareholders' meeting'There was no change'... ""Battery new corporation IPO schedule ...",0,0.145,0.0,0.855,-0.296,-1
2020-10-30 10:51:00,LG Chem's battery business division confirmed... 12 Established a new corporation,0,0.0,0.0,1.0,0.0,0
2020-10-30 10:40:00,LG Chem's battery independent corporation'LG Energy Solution' launched in December,-1,0.0,0.457,0.543,0.5994,1
2020-10-30 10:18:00,LG Chem's battery business division confirmed... Shareholder approval,0,0.0,0.307,0.693,0.4767,1
2020-10-30 10:13:00,LG Chem spins off the world's No. 1 battery business (complementary),0,0.196,0.0,0.804,-0.296,-1
2020-10-30 13:45:00,"LG Chem, Suseong, No. 1 in the global battery market from January to September… The gap between Chinese CATL and China...",0,0.104,0.0,0.896,-0.296,-1
2020-10-30 10:05:00,LG Chem widens the gap with Chinese CATL... Global Battery No. 1 ‘Susung’,0,0.167,0.0,0.833,-0.296,-1
2020-10-30 12:19:00,"[Marketer] Park Neung-hoo, ""National Pension Plan opposes the spin-off of LG Chem…trust decision to take trust""",0,0.0,0.18,0.82,0.5106,1
2020-10-30 12:13:00,LG Chem's'battery division' exceeded 80% in favor of minority shareholder complaints… Why?,-1,0.0,0.197,0.803,0.4019,1
2020-10-30 11:43:00,"LG Chem's battery, independent after 25 years… Vice-Chairman Shin Hak-cheol ""Announcement of Super Gap Status...",-1,0.0,0.218,0.782,0.5994,1
2020-10-30 11:02:00,E-voting has already been finalized... LG Chem finally removes the battery,0,0.0,0.0,1.0,0.0,0
2020-10-30 10:38:00,LG Chem divides battery business... 82.3% in favor passed (total),0,0.0,0.231,0.769,0.4019,1
2020-10-30 10:12:00,(Comprehensive) LG Chem's battery injection confirmed...,0,0.0,0.0,1.0,0.0,0
2020-10-30 10:12:00,(Comprehensive) LG Chem's battery injection confirmed...,0,0.0,0.0,1.0,0.0,0
2020-10-30 12:12:00,"""Pe 100x for PET bottle companies?"" Ant'...",0,0.0,0.0,1.0,0.0,0
2020-10-30 11:39:00,"82% of LG Chem shareholders ""approve of battery division""… Share price is weak in the 4% range",-1,0.144,0.109,0.746,-0.1779,-1
2020-10-30 10:46:00,LG Chem separates battery business... 'Energy Solution' launched in December [General],0,0.0,0.424,0.576,0.5994,1
2020-10-30 12:11:00,"[fnMarket Watch] Park Neung-hoo ""Reliance on the National Pension Commission despite approval of LG Chem's original draft""",-1,0.129,0.116,0.756,-0.0654,0
2020-10-30 12:12:00,"""Pe 100x for PET bottle companies?"" Ant'...",0,0.0,0.0,1.0,0.0,0
2020-10-30 11:39:00,"82% of LG Chem shareholders ""approve of battery division""… Share price is weak in the 4% range",-1,0.144,0.109,0.746,-0.1779,-1
2020-10-30 10:46:00,LG Chem separates battery business... 'Energy Solution' launched in December [General],0,0.0,0.424,0.576,0.5994,1
2020-10-30 12:11:00,"[fnMarket Watch] Park Neung-hoo ""Reliance on the National Pension Commission despite approval of LG Chem's original draft""",-1,0.129,0.116,0.756,-0.0654,0
2020-10-30 11:47:00,LG Chem battery division passed the shareholders' meeting,0,0.0,0.0,1.0,0.0,0
2020-10-30 10:38:00,"LG Chem's battery business spin-off confirmed with ""80% of shareholders agree""",0,0.0,0.2,0.8,0.3612,1
2020-10-30 10:33:00,"LG Chem confirms battery division, the future share price outlook",0,0.0,0.196,0.804,0.296,1
2020-10-30 10:11:00,LG Chem pushes to spin off batteries...Launched LG Energy Solution in December (Comprehensive),0,0.0,0.286,0.714,0.5267,1
2020-10-30 11:43:00,"LG Chem's battery, independent after 25 years… Vice-Chairman Shin Hak-cheol ""Consolidate the super-gap status...",-1,0.0,0.0,1.0,0.0,0
2020-10-30 11:02:00,E-voting has already been finalized... LG Chem finally removes the battery,0,0.0,0.0,1.0,0.0,0
2020-10-30 10:38:00,"LG Chem's battery business spin-off confirmed with ""80% of shareholders agree""",0,0.0,0.2,0.8,0.3612,1
2020-10-30 10:12:00,(Comprehensive) LG Chem's battery injection confirmed...,0,0.0,0.0,1.0,0.0,0
2020-10-30 10:12:00,(Comprehensive) LG Chem's battery injection confirmed...,0,0.0,0.0,1.0,0.0,0
2020-10-30 11:27:00,LG Chem's'Donghak ant' broke through strong opposition and confirmed to spin off...,1,0.174,0.205,0.621,0.128,1
2020-10-30 11:07:00,"LG Chem confirms battery injection, widening decline (general)",0,0.0,0.0,1.0,0.0,0
2020-10-30 10:31:00,Investor sentiment weakened by news of battery injection… LG Chem intraday 4%↓,-1,0.173,0.0,0.827,-0.3182,-1
2020-10-30 11:25:00,[Analysis] LG Chem's physical division passed... 'Key' to appease angry individual shareholders,0,0.214,0.136,0.649,-0.296,-1
2020-10-30 09:05:00,LG Chem's fateful day… 1% ahead of'battery injection' weekly results ↓,0,0.0,0.0,1.0,0.0,0
2020-10-30 06:59:00,[Kim Dae-sung's stock analysis] LG Chem's temporary shareholders' meeting D-Day Aftereffects after the shareholders' meeting...,0,0.0,0.0,1.0,0.0,0
2020-10-30 11:14:00,"LG Chem, which has relieved the financial burden, is likely to attract large-scale investment",-1,0.153,0.268,0.579,0.296,1
2020-10-30 11:04:00,"LG Chem's extraordinary shareholders' meeting'There was no change'... ""Battery new corporation IPO schedule not...",0,0.145,0.0,0.855,-0.296,-1
2020-10-30 10:51:00,LG Chem's battery business division confirmed... 12 Established a new corporation,0,0.0,0.0,1.0,0.0,0
2020-10-30 10:40:00,LG Chem's battery independent corporation'LG Energy Solution' launched in December,-1,0.0,0.457,0.543,0.5994,1
2020-10-30 10:18:00,LG Chem's battery business division confirmed... Shareholder approval,0,0.0,0.307,0.693,0.4767,1
2020-10-30 10:13:00,LG Chem spins off the world's No. 1 battery business (complementary),0,0.196,0.0,0.804,-0.296,-1
2020-10-30 11:02:00,E-voting has already been finalized... LG Chem finally removes the battery,0,0.0,0.0,1.0,0.0,0
2020-10-30 10:49:00,"[SK Inno Concall] ""We are open to agreement with LG Chem.""",0,0.0,0.242,0.758,0.4939,1
2020-10-30 11:02:00,Vote confrontation successive defeat of the national pension… LG Chem could not even prevent the division,-1,0.311,0.103,0.586,-0.5063,-1
2020-10-30 11:02:00,Vote confrontation successive defeat of the national pension… LG Chem could not even prevent the division,-1,0.311,0.103,0.586,-0.5063,-1
2020-10-30 10:38:00,LG Chem divides battery business... 82.3% in favor passed (total),0,0.0,0.231,0.769,0.4019,1
2020-10-30 10:12:00,(Comprehensive) LG Chem's battery injection confirmed...,0,0.0,0.0,1.0,0.0,0
2020-10-30 10:12:00,(Comprehensive) LG Chem's battery injection confirmed...,0,0.0,0.0,1.0,0.0,0
2020-10-30 10:51:00,LG Chem's battery business division confirmed... 12 Established a new corporation,0,0.0,0.0,1.0,0.0,0
2020-10-30 10:40:00,LG Chem's battery independent corporation'LG Energy Solution' launched in December,-1,0.0,0.457,0.543,0.5994,1
2020-10-30 10:18:00,LG Chem's battery business division confirmed... Shareholder approval,0,0.0,0.307,0.693,0.4767,1
2020-10-30 10:13:00,LG Chem spins off the world's No. 1 battery business (complementary),0,0.196,0.0,0.804,-0.296,-1
2020-10-30 10:49:00,"[SK Inno Concall] ""We are open to agreement with LG Chem.""",0,0.0,0.242,0.758,0.4939,1
2020-10-30 10:46:00,LG Chem separates battery business... 'Energy Solution' launched in December [General],0,0.0,0.424,0.576,0.5994,1
2020-10-30 10:42:00,"LG Chem,'battered' up to 620,000 won during the week after passing battery injection",0,0.0,0.236,0.764,0.5719,1
2020-10-30 10:25:00,[Features] In approval of the shareholders' general'battery injection' LG Chem plunged around 3%,0,0.0,0.205,0.795,0.4767,1
2020-10-30 10:38:00,LG Chem divides battery business... 82.3% in favor passed (total),0,0.0,0.231,0.769,0.4019,1
2020-10-30 10:33:00,"LG Chem confirms battery division, the future share price outlook",0,0.0,0.196,0.804,0.296,1
2020-10-30 10:11:00,LG Chem pushes to spin off batteries...Launched LG Energy Solution in December (Comprehensive),0,0.0,0.286,0.714,0.5267,1
2020-10-30 10:34:00,[Breaking News] LG Chem will eventually pull off the battery business... Approved by the general shareholders,-1,0.0,0.157,0.843,0.4215,1
2020-10-30 10:32:00,[Breaking News] LG Chem's battery business division decided to spin off... 82.3% in favor,-1,0.0,0.172,0.828,0.4019,1
2020-10-30 10:31:00,Investor sentiment weakened by news of battery injection… LG Chem intraday 4%↓,-1,0.173,0.0,0.827,-0.3182,-1
